is_valid,lap_number,rider_name,rider_number,sector_number,sector_time,time_seconds
True,3,Maximo QUILES,28,1,23.261,23.261
True,3,Maximo QUILES,28,2,27.203,27.203
True,3,Maximo QUILES,28,3,23.265,23.265
True,3,Maximo QUILES,28,4,27.375,27.375
True,4,Maximo QUILES,28,1,22.964,22.964
True,4,Maximo QUILES,28,2,27.186,27.186
True,4,Maximo QUILES,28,3,23.114,23.114
True,4,Maximo QUILES,28,4,27.195,27.195
True,5,Maximo QUILES,28,1,22.920,22.92
True,5,Maximo QUILES,28,2,26.889,26.889
True,5,Maximo QUILES,28,3,22.975,22.975
True,5,Maximo QUILES,28,4,27.295,27.295
True,6,Maximo QUILES,28,1,22.886,22.886
True,6,Maximo QUILES,28,2,26.762,26.762
True,6,Maximo QUILES,28,3,22.892,22.892
True,6,Maximo QUILES,28,4,27.142,27.142
True,7,Maximo QUILES,28,1,22.900,22.9
True,7,Maximo QUILES,28,2,26.775,26.775
True,7,Maximo QUILES,28,3,22.925,22.925
True,7,Maximo QUILES,28,4,27.185,27.185
True,8,Maximo QUILES,28,1,22.848,22.848
True,8,Maximo QUILES,28,2,26.585,26.585
True,8,Maximo QUILES,28,3,22.792,22.792
True,8,Maximo QUILES,28,4,27.311,27.311
True,9,Maximo QUILES,28,1,22.879,22.879
True,9,Maximo QUILES,28,2,26.634,26.634
True,9,Maximo QUILES,28,3,22.803,22.803
True,9,Maximo QUILES,28,4,27.172,27.172
True,11,Maximo QUILES,28,1,22.853,22.853
True,11,Maximo QUILES,28,2,27.895,27.895
True,11,Maximo QUILES,28,3,23.613,23.613
True,11,Maximo QUILES,28,4,36.843,36.843
True,12,Maximo QUILES,28,1,23.562,23.562
True,12,Maximo QUILES,28,2,27.641,27.641
True,12,Maximo QUILES,28,3,23.180,23.18
True,12,Maximo QUILES,28,4,27.474,27.474
True,13,Maximo QUILES,28,1,22.899,22.899
True,13,Maximo QUILES,28,2,26.847,26.847
True,13,Maximo QUILES,28,3,22.884,22.884
True,13,Maximo QUILES,28,4,27.326,27.326
True,14,Maximo QUILES,28,1,22.833,22.833
True,14,Maximo QUILES,28,2,26.638,26.638
True,14,Maximo QUILES,28,3,22.782,22.782
True,14,Maximo QUILES,28,4,26.951,26.951
True,15,Maximo QUILES,28,1,22.821,22.821
True,15,Maximo QUILES,28,2,26.397,26.397
True,15,Maximo QUILES,28,3,22.607,22.607
True,15,Maximo QUILES,28,4,26.940,26.94
True,1,Valentin PERRONE,73,1,27.463,27.463
True,1,Valentin PERRONE,73,2,30.425,30.425
True,1,Valentin PERRONE,73,3,24.647,24.647
True,1,Valentin PERRONE,73,4,28.345,28.345
True,2,Valentin PERRONE,73,1,23.763,23.763
True,2,Valentin PERRONE,73,2,27.748,27.748
True,2,Valentin PERRONE,73,3,23.574,23.574
True,2,Valentin PERRONE,73,4,27.761,27.761
True,3,Valentin PERRONE,73,1,23.456,23.456
True,3,Valentin PERRONE,73,2,27.444,27.444
True,3,Valentin PERRONE,73,3,23.560,23.56
True,3,Valentin PERRONE,73,4,27.647,27.647
True,4,Valentin PERRONE,73,1,23.200,23.2
True,4,Valentin PERRONE,73,2,27.461,27.461
True,4,Valentin PERRONE,73,3,23.363,23.363
True,4,Valentin PERRONE,73,4,27.492,27.492
True,5,Valentin PERRONE,73,1,23.193,23.193
True,5,Valentin PERRONE,73,2,27.658,27.658
